"id","winner","result","result_margin","eliminator","method","umpire1","umpire2"
335982,"Kolkata Knight Riders","runs",140,"N",NA,"Asad Rauf","RE Koertzen"
335983,"Chennai Super Kings","runs",33,"N",NA,"MR Benson","SL Shastri"
335984,"Delhi Daredevils","wickets",9,"N",NA,"Aleem Dar","GA Pratapkumar"
335985,"Royal Challengers Bangalore","wickets",5,"N",NA,"SJ Davis","DJ Harper"
335986,"Kolkata Knight Riders","wickets",5,"N",NA,"BF Bowden","K Hariharan"
335987,"Rajasthan Royals","wickets",6,"N",NA,"Aleem Dar","RB Tiffin"
335988,"Delhi Daredevils","wickets",9,"N",NA,"IL Howell","AM Saheba"
335989,"Chennai Super Kings","runs",6,"N",NA,"DJ Harper","GA Pratapkumar"
335990,"Rajasthan Royals","wickets",3,"N",NA,"Asad Rauf","MR Benson"
335991,"Kings XI Punjab","runs",66,"N",NA,"Aleem Dar","AM Saheba"
335992,"Rajasthan Royals","wickets",7,"N",NA,"MR Benson","IL Howell"
335993,"Chennai Super Kings","wickets",9,"N",NA,"BF Bowden","AV Jayaprakash"
335994,"Deccan Chargers","wickets",10,"N",NA,"Asad Rauf","SL Shastri"
335995,"Kings XI Punjab","wickets",4,"N",NA,"RE Koertzen","I Shivram"
335996,"Chennai Super Kings","runs",13,"N",NA,"BR Doctrove","RB Tiffin"
335997,"Mumbai Indians","wickets",7,"N",NA,"BF Bowden","AV Jayaprakash"
335998,"Delhi Daredevils","runs",10,"N",NA,"Aleem Dar","I Shivram"
335999,"Kings XI Punjab","wickets",7,"N",NA,"BR Doctrove","RB Tiffin"
336000,"Rajasthan Royals","runs",45,"N",NA,"RE Koertzen","GA Pratapkumar"
336001,"Delhi Daredevils","wickets",8,"N",NA,"BF Bowden","K Hariharan"
336002,"Royal Challengers Bangalore","wickets",5,"N",NA,"Asad Rauf","RE Koertzen"
336003,"Kings XI Punjab","runs",9,"N",NA,"DJ Harper","I Shivram"
336004,"Mumbai Indians","runs",29,"N",NA,"IL Howell","RE Koertzen"
336005,"Rajasthan Royals","wickets",8,"N",NA,"Asad Rauf","AV Jayaprakash"
336006,"Kings XI Punjab","wickets",6,"N",NA,"SJ Davis","BR Doctrove"
336007,"Deccan Chargers","wickets",7,"N",NA,"MR Benson","RB Tiffin"
336008,"Mumbai Indians","wickets",7,"N",NA,"DJ Harper","RE Koertzen"
336009,"Chennai Super Kings","wickets",4,"N",NA,"Aleem Dar","RB Tiffin"
336010,"Kolkata Knight Riders","runs",5,"N",NA,"Asad Rauf","IL Howell"
336011,"Rajasthan Royals","wickets",8,"N",NA,"MR Benson","AM Saheba"
336012,"Mumbai Indians","wickets",9,"N",NA,"BF Bowden","AV Jayaprakash"
336013,"Chennai Super Kings","runs",18,"N",NA,"AV Jayaprakash","BG Jerling"
336014,"Kolkata Knight Riders","runs",23,"N",NA,"IL Howell","AM Saheba"
336015,"Rajasthan Royals","wickets",3,"N",NA,"SJ Davis","RE Koertzen"
336016,"Kings XI Punjab","wickets",9,"N",NA,"BR Doctrove","I Shivram"
336017,"Kolkata Knight Riders","runs",23,"N",NA,"Asad Rauf","IL Howell"
336018,"Mumbai Indians","wickets",9,"N",NA,"BR Doctrove","AM Saheba"
336019,"Kings XI Punjab","runs",41,"N",NA,"SJ Davis","K Hariharan"
336020,"Delhi Daredevils","runs",12,"N",NA,"BG Jerling","GA Pratapkumar"
336021,"Mumbai Indians","wickets",8,"N",NA,"BR Doctrove","DJ Harper"
336022,"Kings XI Punjab","runs",6,"N","D/L","AV Jayaprakash","RE Koertzen"
336023,"Rajasthan Royals","runs",65,"N",NA,"BF Bowden","SL Shastri"
336024,"Mumbai Indians","runs",25,"N",NA,"BR Doctrove","DJ Harper"
336025,"Chennai Super Kings","runs",3,"N","D/L","Asad Rauf","K Hariharan"
336026,"Delhi Daredevils","wickets",5,"N",NA,"SJ Davis","GA Pratapkumar"
336027,"Rajasthan Royals","wickets",6,"N",NA,"BG Jerling","RE Koertzen"
336028,"Kings XI Punjab","runs",1,"N",NA,"BF Bowden","GA Pratapkumar"
336029,"Royal Challengers Bangalore","runs",14,"N",NA,"DJ Harper","I Shivram"
336031,"Kings XI Punjab","wickets",6,"N",NA,"Asad Rauf","SJ Davis"
336032,"Delhi Daredevils","wickets",5,"N",NA,"BF Bowden","K Hariharan"
336033,"Rajasthan Royals","runs",10,"N",NA,"DJ Harper","SL Shastri"
336034,"Royal Challengers Bangalore","runs",3,"N",NA,"BR Doctrove","SL Shastri"
336035,"Kolkata Knight Riders","wickets",3,"N",NA,"SJ Davis","I Shivram"
336036,"Rajasthan Royals","wickets",5,"N",NA,"BF Bowden","K Hariharan"
336037,"Chennai Super Kings","wickets",7,"N",NA,"BG Jerling","AM Saheba"
336038,"Rajasthan Royals","runs",105,"N",NA,"BF Bowden","RE Koertzen"
336039,"Chennai Super Kings","wickets",9,"N",NA,"Asad Rauf","DJ Harper"
336040,"Rajasthan Royals","wickets",3,"N",NA,"BF Bowden","RE Koertzen"
392181,"Mumbai Indians","runs",19,"N",NA,"BR Doctrove","K Hariharan"
392182,"Royal Challengers Bangalore","runs",75,"N",NA,"BR Doctrove","RB Tiffin"
392183,"Delhi Daredevils","wickets",10,"N","D/L","MR Benson","SD Ranade"
392184,"Deccan Chargers","wickets",8,"N",NA,"MR Benson","BR Doctrove"
392185,"Chennai Super Kings","runs",92,"N",NA,"BG Jerling","SJA Taufel"
392186,"Kolkata Knight Riders","runs",11,"N","D/L","DJ Harper","SD Ranade"
392188,"Deccan Chargers","runs",24,"N",NA,"M Erasmus","AM Saheba"
392189,"Delhi Daredevils","runs",9,"N",NA,"BR Doctrove","SJA Taufel"
392190,"Rajasthan Royals","tie",NA,"Y",NA,"MR Benson","M Erasmus"
392191,"Kings XI Punjab","wickets",7,"N",NA,"BR Doctrove","TH Wijewardene"
392192,"Deccan Chargers","runs",12,"N",NA,"HDPK Dharmasena","SJA Taufel"
392194,"Delhi Daredevils","wickets",6,"N",NA,"S Asnani","BG Jerling"
392195,"Kings XI Punjab","runs",27,"N",NA,"M Erasmus","K Hariharan"
392196,"Deccan Chargers","wickets",6,"N",NA,"IL Howell","TH Wijewardene"
392197,"Mumbai Indians","runs",92,"N",NA,"BG Jerling","RB Tiffin"
392198,"Rajasthan Royals","wickets",5,"N",NA,"GAV Baxter","RE Koertzen"
392199,"Royal Challengers Bangalore","wickets",5,"N",NA,"MR Benson","TH Wijewardene"
392200,"Kings XI Punjab","runs",3,"N",NA,"MR Benson","SL Shastri"
392201,"Delhi Daredevils","wickets",6,"N",NA,"GAV Baxter","AM Saheba"
392202,"Chennai Super Kings","runs",38,"N",NA,"GAV Baxter","RE Koertzen"
392203,"Mumbai Indians","runs",9,"N",NA,"M Erasmus","SK Tarapore"
392204,"Royal Challengers Bangalore","runs",8,"N",NA,"HDPK Dharmasena","S Ravi"
392205,"Rajasthan Royals","wickets",3,"N",NA,"S Asnani","BG Jerling"
392206,"Chennai Super Kings","runs",18,"N",NA,"DJ Harper","RE Koertzen"
392207,"Kings XI Punjab","wickets",6,"N",NA,"S Asnani","MR Benson"
392208,"Royal Challengers Bangalore","wickets",9,"N",NA,"RE Koertzen","TH Wijewardene"
392209,"Chennai Super Kings","runs",78,"N",NA,"BR Doctrove","M Erasmus"
392210,"Rajasthan Royals","runs",78,"N",NA,"SS Hazare","IL Howell"
392211,"Delhi Daredevils","wickets",9,"N",NA,"GAV Baxter","IL Howell"
392212,"Deccan Chargers","runs",19,"N",NA,"MR Benson","HDPK Dharmasena"
392213,"Rajasthan Royals","wickets",7,"N",NA,"K Hariharan","DJ Harper"
392214,"Chennai Super Kings","runs",12,"N","D/L","DJ Harper","TH Wijewardene"
392215,"Delhi Daredevils","wickets",7,"N",NA,"M Erasmus","SK Tarapore"
392216,"Kings XI Punjab","wickets",3,"N",NA,"GAV Baxter","AM Saheba"
392217,"Chennai Super Kings","wickets",7,"N",NA,"GAV Baxter","HDPK Dharmasena"
392218,"Mumbai Indians","runs",16,"N",NA,"BR Doctrove","BG Jerling"
392219,"Delhi Daredevils","wickets",7,"N",NA,"SL Shastri","RB Tiffin"
392220,"Deccan Chargers","runs",53,"N",NA,"GAV Baxter","HDPK Dharmasena"
392221,"Royal Challengers Bangalore","wickets",6,"N",NA,"M Erasmus","SS Hazare"
392222,"Mumbai Indians","wickets",8,"N",NA,"SS Hazare","RE Koertzen"
392223,"Delhi Daredevils","runs",12,"N",NA,"DJ Harper","SL Shastri"
392224,"Royal Challengers Bangalore","wickets",2,"N",NA,"BR Doctrove","DJ Harper"
392225,"Rajasthan Royals","runs",2,"N",NA,"BR Doctrove","DJ Harper"
392226,"Kings XI Punjab","wickets",6,"N",NA,"HDPK Dharmasena","IL Howell"
392227,"Chennai Super Kings","wickets",7,"N",NA,"SK Tarapore","SJA Taufel"
392228,"Deccan Chargers","wickets",6,"N",NA,"RE Koertzen","S Ravi"
392229,"Kings XI Punjab","runs",1,"N",NA,"S Ravi","RB Tiffin"
392230,"Delhi Daredevils","runs",14,"N",NA,"SS Hazare","IL Howell"
392231,"Kolkata Knight Riders","wickets",7,"N",NA,"SJA Taufel","RB Tiffin"
392232,"Royal Challengers Bangalore","wickets",7,"N",NA,"IL Howell","RB Tiffin"
392233,"Kolkata Knight Riders","wickets",4,"N",NA,"BG Jerling","SJA Taufel"
392234,"Chennai Super Kings","runs",24,"N",NA,"BG Jerling","SJA Taufel"
392235,"Delhi Daredevils","wickets",4,"N",NA,"IL Howell","S Ravi"
392236,"Royal Challengers Bangalore","runs",12,"N",NA,"IL Howell","S Ravi"
392237,"Deccan Chargers","wickets",6,"N",NA,"BR Doctrove","DJ Harper"
392238,"Royal Challengers Bangalore","wickets",6,"N",NA,"RE Koertzen","SJA Taufel"
392239,"Deccan Chargers","runs",6,"N",NA,"RE Koertzen","SJA Taufel"
419106,"Kolkata Knight Riders","runs",11,"N",NA,"RE Koertzen","RB Tiffin"
419107,"Mumbai Indians","runs",4,"N",NA,"RE Koertzen","RB Tiffin"
419108,"Delhi Daredevils","wickets",5,"N",NA,"BR Doctrove","S Ravi"
419109,"Kolkata Knight Riders","wickets",7,"N",NA,"HDPK Dharmasena","AM Saheba"
419110,"Deccan Chargers","runs",31,"N",NA,"K Hariharan","DJ Harper"
419111,"Delhi Daredevils","wickets",6,"N",NA,"BG Jerling","RE Koertzen"
419112,"Royal Challengers Bangalore","wickets",8,"N",NA,"S Das","DJ Harper"
419113,"Chennai Super Kings","runs",55,"N",NA,"HDPK Dharmasena","AM Saheba"
419114,"Mumbai Indians","runs",98,"N",NA,"BR Doctrove","SK Tarapore"
419115,"Royal Challengers Bangalore","wickets",10,"N",NA,"K Hariharan","DJ Harper"
419116,"Chennai Super Kings","wickets",5,"N",NA,"BR Doctrove","SK Tarapore"
419117,"Deccan Chargers","runs",6,"N",NA,"BF Bowden","M Erasmus"
419118,"Rajasthan Royals","runs",34,"N",NA,"RE Koertzen","RB Tiffin"
419119,"Royal Challengers Bangalore","wickets",7,"N",NA,"HDPK Dharmasena","SS Hazare"
419120,"Deccan Chargers","runs",10,"N",NA,"BF Bowden","M Erasmus"
419121,"Kings XI Punjab","tie",NA,"Y",NA,"K Hariharan","DJ Harper"
419122,"Mumbai Indians","wickets",7,"N",NA,"SS Hazare","SJA Taufel"
419123,"Royal Challengers Bangalore","runs",36,"N",NA,"RE Koertzen","RB Tiffin"
419124,"Rajasthan Royals","runs",31,"N",NA,"BR Doctrove","SK Tarapore"
419125,"Mumbai Indians","wickets",5,"N",NA,"BF Bowden","AM Saheba"
419126,"Rajasthan Royals","wickets",8,"N",NA,"HDPK Dharmasena","SJA Taufel"
419127,"Kolkata Knight Riders","runs",39,"N",NA,"BR Doctrove","S Ravi"
419128,"Delhi Daredevils","runs",17,"N",NA,"BG Jerling","RE Koertzen"
419129,"Rajasthan Royals","runs",17,"N",NA,"SS Hazare","SJA Taufel"
419130,"Mumbai Indians","runs",41,"N",NA,"S Das","K Hariharan"
419131,"Delhi Daredevils","runs",40,"N",NA,"SS Hazare","SJA Taufel"
419132,"Mumbai Indians","wickets",4,"N",NA,"BR Doctrove","SK Tarapore"
419133,"Chennai Super Kings","wickets",5,"N",NA,"BG Jerling","RE Koertzen"
419134,"Delhi Daredevils","runs",67,"N",NA,"HDPK Dharmasena","SJA Taufel"
419135,"Kolkata Knight Riders","runs",24,"N",NA,"K Hariharan","DJ Harper"
419136,"Royal Challengers Bangalore","wickets",6,"N",NA,"BF Bowden","M Erasmus"
419137,"Chennai Super Kings","runs",23,"N",NA,"RE Koertzen","RB Tiffin"
419138,"Mumbai Indians","runs",63,"N",NA,"BR Doctrove","S Ravi"
419139,"Kings XI Punjab","wickets",8,"N",NA,"S Asnani","DJ Harper"
419140,"Delhi Daredevils","runs",37,"N",NA,"BF Bowden","M Erasmus"
419141,"Rajasthan Royals","runs",2,"N",NA,"HDPK Dharmasena","SJA Taufel"
419142,"Chennai Super Kings","runs",24,"N",NA,"S Asnani","DJ Harper"
419143,"Rajasthan Royals","wickets",9,"N",NA,"S Ravi","SK Tarapore"
419144,"Kolkata Knight Riders","runs",14,"N",NA,"BG Jerling","RE Koertzen"
419145,"Deccan Chargers","wickets",7,"N",NA,"S Asnani","DJ Harper"
419146,"Kings XI Punjab","wickets",6,"N",NA,"M Erasmus","AM Saheba"
419147,"Deccan Chargers","wickets",6,"N",NA,"HDPK Dharmasena","SJA Taufel"
419148,"Royal Challengers Bangalore","wickets",7,"N",NA,"K Hariharan","DJ Harper"
419149,"Kings XI Punjab","wickets",7,"N",NA,"BF Bowden","AM Saheba"
419150,"Mumbai Indians","runs",37,"N",NA,"BR Doctrove","SK Tarapore"
419151,"Deccan Chargers","runs",13,"N",NA,"RE Koertzen","RB Tiffin"
419152,"Mumbai Indians","runs",39,"N",NA,"S Asnani","DJ Harper"
419153,"Chennai Super Kings","wickets",9,"N",NA,"SS Hazare","SJA Taufel"
419154,"Royal Challengers Bangalore","wickets",5,"N",NA,"BR Doctrove","S Ravi"
419155,"Delhi Daredevils","wickets",6,"N",NA,"HDPK Dharmasena","SS Hazare"
419156,"Deccan Chargers","wickets",5,"N",NA,"M Erasmus","AM Saheba"
419157,"Mumbai Indians","runs",57,"N",NA,"HDPK Dharmasena","SJA Taufel"
419158,"Kolkata Knight Riders","wickets",8,"N",NA,"BG Jerling","RB Tiffin"
419159,"Chennai Super Kings","wickets",6,"N",NA,"BF Bowden","AM Saheba"
419160,"Deccan Chargers","runs",11,"N",NA,"BR Doctrove","SK Tarapore"
419161,"Kolkata Knight Riders","wickets",9,"N",NA,"BG Jerling","RE Koertzen"
419162,"Mumbai Indians","runs",35,"N",NA,"BR Doctrove","RB Tiffin"
419163,"Chennai Super Kings","runs",38,"N",NA,"BR Doctrove","RB Tiffin"
419164,"Royal Challengers Bangalore","wickets",9,"N",NA,"RE Koertzen","SJA Taufel"
419165,"Chennai Super Kings","runs",22,"N",NA,"RE Koertzen","SJA Taufel"
501198,"Chennai Super Kings","runs",2,"N",NA,"BR Doctrove","PR Reiffel"
501199,"Rajasthan Royals","wickets",8,"N",NA,"RE Koertzen","SK Tarapore"
501200,"Royal Challengers Bangalore","wickets",6,"N",NA,"HDPK Dharmasena","K Hariharan"
501201,"Mumbai Indians","wickets",8,"N",NA,"AM Saheba","RB Tiffin"
501202,"Pune Warriors","wickets",7,"N",NA,"BR Doctrove","PR Reiffel"
501203,"Kolkata Knight Riders","runs",9,"N",NA,"RE Koertzen","SK Tarapore"
501204,"Rajasthan Royals","wickets",6,"N",NA,"Aleem Dar","RB Tiffin"
501205,"Mumbai Indians","wickets",9,"N",NA,"HDPK Dharmasena","AL Hill"
501206,"Kings XI Punjab","wickets",6,"N",NA,"Asad Rauf","SL Shastri"
501207,"Pune Warriors","wickets",4,"N",NA,"S Asnani","PR Reiffel"
501208,"Deccan Chargers","runs",33,"N",NA,"RE Koertzen","S Ravi"
501209,"Kolkata Knight Riders","wickets",9,"N",NA,"Aleem Dar","SS Hazare"
501210,"Kochi Tuskers Kerala","wickets",8,"N",NA,"BR Doctrove","PR Reiffel"
501211,"Chennai Super Kings","runs",21,"N",NA,"HDPK Dharmasena","AL Hill"
501212,"Kings XI Punjab","wickets",8,"N",NA,"RE Koertzen","S Ravi"
501213,"Delhi Daredevils","wickets",3,"N",NA,"Asad Rauf","AM Saheba"
501214,"Kolkata Knight Riders","wickets",8,"N",NA,"Aleem Dar","RB Tiffin"
501215,"Kochi Tuskers Kerala","wickets",7,"N","D/L","K Hariharan","AL Hill"
501216,"Deccan Chargers","runs",16,"N",NA,"PR Reiffel","RJ Tucker"
501218,"Mumbai Indians","wickets",7,"N",NA,"Asad Rauf","AM Saheba"
501219,"Kochi Tuskers Kerala","runs",6,"N",NA,"Aleem Dar","RB Tiffin"
501220,"Kings XI Punjab","runs",48,"N",NA,"S Asnani","PR Reiffel"
501221,"Mumbai Indians","runs",8,"N",NA,"Asad Rauf","AM Saheba"
501222,"Royal Challengers Bangalore","wickets",9,"N",NA,"SS Hazare","RB Tiffin"
501223,"Delhi Daredevils","runs",29,"N",NA,"S Asnani","RE Koertzen"
501224,"Mumbai Indians","runs",37,"N",NA,"HDPK Dharmasena","AL Hill"
501225,"Rajasthan Royals","wickets",8,"N",NA,"BR Doctrove","SK Tarapore"
501226,"Chennai Super Kings","runs",25,"N",NA,"Aleem Dar","RB Tiffin"
501227,"Royal Challengers Bangalore","wickets",3,"N",NA,"S Asnani","RJ Tucker"
501228,"Chennai Super Kings","wickets",8,"N",NA,"Asad Rauf","SL Shastri"
501229,"Deccan Chargers","runs",55,"N",NA,"HDPK Dharmasena","AL Hill"
501230,"Kolkata Knight Riders","runs",17,"N",NA,"PR Reiffel","RJ Tucker"
501231,"Rajasthan Royals","wickets",7,"N",NA,"Asad Rauf","SK Tarapore"
501232,"Royal Challengers Bangalore","runs",26,"N",NA,"Aleem Dar","SS Hazare"
501233,"Delhi Daredevils","runs",38,"N",NA,"HDPK Dharmasena","AL Hill"
501234,"Kolkata Knight Riders","wickets",8,"N",NA,"AM Saheba","SL Shastri"
501235,"Rajasthan Royals","wickets",6,"N",NA,"SK Tarapore","SJA Taufel"
501236,"Chennai Super Kings","runs",19,"N",NA,"Aleem Dar","RB Tiffin"
501237,"Mumbai Indians","runs",23,"N",NA,"HDPK Dharmasena","PR Reiffel"
501238,"Kochi Tuskers Kerala","wickets",7,"N",NA,"Asad Rauf","SL Shastri"
501239,"Kolkata Knight Riders","runs",20,"N",NA,"S Asnani","RJ Tucker"
501240,"Chennai Super Kings","wickets",8,"N",NA,"SS Hazare","RB Tiffin"
501241,"Mumbai Indians","runs",21,"N",NA,"HDPK Dharmasena","SJA Taufel"
501242,"Kochi Tuskers Kerala","runs",17,"N",NA,"S Ravi","RJ Tucker"
501243,"Delhi Daredevils","wickets",4,"N",NA,"Asad Rauf","AM Saheba"
501244,"Royal Challengers Bangalore","runs",85,"N",NA,"Aleem Dar","RB Tiffin"
501245,"Kolkata Knight Riders","runs",10,"N","D/L","Asad Rauf","PR Reiffel"
501246,"Mumbai Indians","runs",32,"N",NA,"K Hariharan","SJA Taufel"
501247,"Royal Challengers Bangalore","wickets",9,"N",NA,"Aleem Dar","SS Hazare"
501248,"Pune Warriors","wickets",5,"N",NA,"SK Tarapore","RJ Tucker"
501249,"Chennai Super Kings","runs",63,"N",NA,"K Hariharan","SJA Taufel"
501250,"Pune Warriors","wickets",6,"N",NA,"Asad Rauf","AM Saheba"
501251,"Kings XI Punjab","runs",76,"N",NA,"SK Tarapore","RJ Tucker"
501252,"Royal Challengers Bangalore","wickets",9,"N",NA,"HDPK Dharmasena","K Hariharan"
501253,"Chennai Super Kings","runs",18,"N",NA,"AM Saheba","SL Shastri"
501254,"Kings XI Punjab","wickets",6,"N",NA,"S Asnani","RJ Tucker"
501255,"Royal Challengers Bangalore","wickets",4,"N","D/L","RE Koertzen","RB Tiffin"
501256,"Deccan Chargers","runs",10,"N",NA,"S Ravi","SK Tarapore"
501257,"Kings XI Punjab","runs",29,"N",NA,"Asad Rauf","SL Shastri"
501258,"Kochi Tuskers Kerala","wickets",8,"N",NA,"PR Reiffel","RJ Tucker"
501259,"Deccan Chargers","wickets",6,"N",NA,"S Ravi","SK Tarapore"
501260,"Kings XI Punjab","runs",111,"N",NA,"Asad Rauf","AM Saheba"
501261,"Chennai Super Kings","runs",11,"N",NA,"HDPK Dharmasena","RE Koertzen"
501262,"Kolkata Knight Riders","wickets",7,"N",NA,"S Ravi","SJA Taufel"
501263,"Rajasthan Royals","wickets",10,"N",NA,"RE Koertzen","PR Reiffel"
501264,"Deccan Chargers","runs",82,"N",NA,"Asad Rauf","AM Saheba"
501265,NA,NA,NA,NA,NA,"SS Hazare","RJ Tucker"
501266,"Royal Challengers Bangalore","wickets",8,"N",NA,"K Hariharan","RE Koertzen"
501267,"Mumbai Indians","wickets",5,"N",NA,"SK Tarapore","SJA Taufel"
501268,"Chennai Super Kings","wickets",6,"N",NA,"Asad Rauf","SJA Taufel"
501269,"Mumbai Indians","wickets",4,"N",NA,"Asad Rauf","SJA Taufel"
501270,"Royal Challengers Bangalore","runs",43,"N",NA,"Asad Rauf","SJA Taufel"
501271,"Chennai Super Kings","runs",58,"N",NA,"Asad Rauf","SJA Taufel"
548306,"Mumbai Indians","wickets",8,"N",NA,"JD Cloete","SJA Taufel"
548307,"Delhi Daredevils","wickets",8,"N",NA,"S Asnani","HDPK Dharmasena"
548308,"Pune Warriors","runs",28,"N",NA,"AK Chaudhary","SJA Taufel"
548309,"Rajasthan Royals","runs",31,"N",NA,"BF Bowden","SK Tarapore"
548310,"Royal Challengers Bangalore","runs",20,"N",NA,"S Asnani","S Ravi"
548311,"Chennai Super Kings","runs",74,"N",NA,"JD Cloete","HDPK Dharmasena"
548312,"Rajasthan Royals","runs",22,"N",NA,"BF Bowden","VA Kulkarni"
548313,"Pune Warriors","runs",22,"N",NA,"S Das","SJA Taufel"
548314,"Mumbai Indians","wickets",5,"N",NA,"AK Chaudhary","JD Cloete"
548315,"Kolkata Knight Riders","runs",42,"N",NA,"S Ravi","RJ Tucker"
548316,"Delhi Daredevils","wickets",8,"N",NA,"Asad Rauf","SK Tarapore"
548317,"Mumbai Indians","runs",27,"N",NA,"Aleem Dar","BNJ Oxenford"
548318,"Chennai Super Kings","wickets",5,"N",NA,"HDPK Dharmasena","RJ Tucker"
548319,"Kings XI Punjab","wickets",7,"N",NA,"VA Kulkarni","SK Tarapore"
548320,"Kolkata Knight Riders","wickets",5,"N",NA,"Asad Rauf","S Asnani"
548321,"Delhi Daredevils","wickets",5,"N",NA,"BF Bowden","SK Tarapore"
548322,"Pune Warriors","wickets",7,"N",NA,"Aleem Dar","BNJ Oxenford"
548323,"Kings XI Punjab","runs",2,"N",NA,"Asad Rauf","S Asnani"
548324,"Rajasthan Royals","runs",59,"N",NA,"JD Cloete","RJ Tucker"
548325,"Delhi Daredevils","wickets",7,"N",NA,"BF Bowden","SK Tarapore"
548326,"Rajasthan Royals","wickets",5,"N",NA,"Aleem Dar","BNJ Oxenford"
548327,"Royal Challengers Bangalore","wickets",6,"N",NA,"S Asnani","S Das"
548328,"Kolkata Knight Riders","wickets",8,"N",NA,"JD Cloete","RJ Tucker"
548329,"Delhi Daredevils","wickets",9,"N",NA,"JD Cloete","SJA Taufel"
548330,"Chennai Super Kings","runs",13,"N",NA,"Asad Rauf","S Das"
548331,"Royal Challengers Bangalore","wickets",5,"N",NA,"S Ravi","RJ Tucker"
548332,"Chennai Super Kings","wickets",7,"N",NA,"Aleem Dar","BNJ Oxenford"
548333,"Pune Warriors","runs",20,"N",NA,"Asad Rauf","S Das"
548334,"Kings XI Punjab","wickets",6,"N",NA,"S Ravi","RJ Tucker"
